"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"1","1","T","01-01-1959","0","Texas Christian","0","Cotton Bowl","Air Force (CO)","United States Air Force Academy"
"2","2","L","12-28-1963","0","North Carolina","35","Gator Bowl","Air Force (CO)","United States Air Force Academy"
"3","3","L","01-01-1971","13","Tennessee","34","Sugar Bowl","Air Force (CO)","United States Air Force Academy"
"4","4","W","12-31-1982","36","Vanderbilt (TN)","28","Hall of Fame Classic","Air Force (CO)","United States Air Force Academy"
"5","5","W","12-10-1983","9","Mississippi","3","Independence Bowl","Air Force (CO)","United States Air Force Academy"
"6","6","W","12-15-1984","23","Virginia Tech","7","Independence Bowl","Air Force (CO)","United States Air Force Academy"
"7","7","W","12-31-1985","24","Texas","16","Bluebonnet Bowl","Air Force (CO)","United States Air Force Academy"
"8","8","L","12-30-1987","28","Arizona St.","33","Freedom Bowl","Air Force (CO)","United States Air Force Academy"
"9","9","L","12-28-1989","29","Mississippi","42","Liberty Bowl","Air Force (CO)","United States Air Force Academy"
"10","10","W","12-27-1990","23","Ohio St.","11","Liberty Bowl","Air Force (CO)","United States Air Force Academy"
"11","11","W","12-29-1991","38","Mississippi St.","15","Liberty Bowl","Air Force (CO)","United States Air Force Academy"
"12","12","L","12-31-1992","0","Mississippi","13","Liberty Bowl","Air Force (CO)","United States Air Force Academy"
"13","13","L","12-27-1995","41","Texas Tech","55","Copper Bowl","Air Force (CO)","United States Air Force Academy"
"14","14","L","12-20-1997","13","Oregon","41","Las Vegas Bowl","Air Force (CO)","United States Air Force Academy"
"15","15","W","12-25-1998","45","Washington","25","Oahu Classic","Air Force (CO)","United States Air Force Academy"
"16","16","W","12-31-2000","37","Fresno St. (CA)","34","Silicon Valley Classic","Air Force (CO)","United States Air Force Academy"
"17","17","L","12-31-2002","13","Virginia Tech","20","San Francisco Bowl","Air Force (CO)","United States Air Force Academy"
"18","18","L","12-31-2007","36","California","42","Armed Forces Bowl","Air Force (CO)","United States Air Force Academy"
"19","19","L","12-31-2008","28","Houston (TX)","34","Armed Forces Bowl","Air Force (CO)","United States Air Force Academy"
"20","20","W","12-31-2009","47","Houston (TX)","20","Armed Forces Bowl","Air Force (CO)","United States Air Force Academy"
"21","21","W","12-27-2010","14","Georgia Tech","7","Independence Bowl","Air Force (CO)","United States Air Force Academy"
"22","22","L","12-28-2011","41","Toledo (OH)","42","Military Bowl","Air Force (CO)","United States Air Force Academy"
"23","23","L","12-29-2012","14","Rice (TX)","33","Armed Forces Bowl","Air Force (CO)","United States Air Force Academy"
"24","1","W","11-29-1981","21","San Diego St. (CA)","16","Mirage Bowl","Air Force (CO)","United States Air Force Academy"
"25","1","L","12-26-2005","31","Memphis (TN)","38","Motor City Bowl","Akron (OH)","University of Akron"
"26","1","L","12-13-1968","13","Louisiana Tech","33","Grantland Rice Bowl","Akron (OH)","University of Akron"
"27","2","W","12-04-1976","29","Northern Michigan","26","Knute Rockne Bowl - Division II Semifinal Playoff Game","Akron (OH)","University of Akron"
"28","3","L","12-11-1976","13","Montana St.","24","Pioneer Bowl (1) - Division II Championship Game","Akron (OH)","University of Akron"
"29","1","W","01-01-1926","20","Washington","19","Rose Bowl","Alabama","The University of Alabama"
"30","2","T","01-01-1927","7","Stanford (CA)","7","Rose Bowl","Alabama","The University of Alabama"
"31","3","W","01-01-1931","24","Washington St.","0","Rose Bowl","Alabama","The University of Alabama"
"32","4","W","01-01-1935","29","Stanford (CA)","13","Rose Bowl","Alabama","The University of Alabama"
"33","5","L","01-01-1938","0","California","13","Rose Bowl","Alabama","The University of Alabama"
"34","6","W","01-01-1942","29","Texas A&M","21","Cotton Bowl","Alabama","The University of Alabama"
"35","7","W","01-01-1943","37","Boston College (MA)","21","Orange Bowl","Alabama","The University of Alabama"
"36","8","L","01-01-1945","26","Duke (NC)","29","Sugar Bowl","Alabama","The University of Alabama"
"37","9","W","01-01-1946","34","Southern California","14","Rose Bowl","Alabama","The University of Alabama"
"38","10","L","01-01-1948","7","Texas","27","Sugar Bowl","Alabama","The University of Alabama"
"39","11","W","01-01-1953","61","Syracuse (NY)","6","Orange Bowl","Alabama","The University of Alabama"
"40","12","L","01-01-1954","6","Rice (TX)","28","Cotton Bowl","Alabama","The University of Alabama"
"41","13","L","12-19-1959","0","Penn St.","7","Liberty Bowl","Alabama","The University of Alabama"
"42","14","T","12-17-1960","3","Texas","3","Bluebonnet Bowl","Alabama","The University of Alabama"
"43","15","W","01-01-1962","10","Arkansas","3","Sugar Bowl","Alabama","The University of Alabama"
"44","16","W","01-01-1963","17","Oklahoma","0","Orange Bowl","Alabama","The University of Alabama"
"45","17","W","01-01-1964","12","Mississippi","7","Sugar Bowl","Alabama","The University of Alabama"
"46","18","L","01-01-1965","17","Texas","21","Orange Bowl","Alabama","The University of Alabama"
"47","19","W","01-01-1966","39","Nebraska","28","Orange Bowl","Alabama","The University of Alabama"
"48","20","W","01-02-1967","34","Nebraska","7","Sugar Bowl","Alabama","The University of Alabama"
"49","21","L","01-01-1968","16","Texas A&M","20","Cotton Bowl","Alabama","The University of Alabama"
"50","22","L","12-28-1968","10","Missouri","35","Gator Bowl","Alabama","The University of Alabama"
"51","23","L","12-13-1969","33","Colorado","47","Liberty Bowl","Alabama","The University of Alabama"
"52","24","T","12-31-1970","24","Oklahoma","24","Bluebonnet Bowl","Alabama","The University of Alabama"
"53","25","L","01-01-1972","6","Nebraska","38","Orange Bowl","Alabama","The University of Alabama"
"54","26","L","01-01-1973","13","Texas","17","Cotton Bowl","Alabama","The University of Alabama"
"55","27","L","12-31-1973","23","Notre Dame (IN)","24","Sugar Bowl","Alabama","The University of Alabama"
"56","28","L","01-01-1975","11","Notre Dame (IN)","13","Orange Bowl","Alabama","The University of Alabama"
"57","29","W","12-31-1975","13","Penn St.","6","Sugar Bowl","Alabama","The University of Alabama"
"58","30","W","12-20-1976","36","UCLA","6","Liberty Bowl","Alabama","The University of Alabama"
"59","31","W","01-02-1978","35","Ohio St.","6","Sugar Bowl","Alabama","The University of Alabama"
"60","32","W","01-01-1979","14","Penn St.","7","Sugar Bowl","Alabama","The University of Alabama"
"61","33","W","01-01-1980","24","Arkansas","9","Sugar Bowl","Alabama","The University of Alabama"
"62","34","W","01-01-1981","30","Baylor (TX)","2","Cotton Bowl","Alabama","The University of Alabama"
"63","35","L","01-01-1982","12","Texas","14","Cotton Bowl","Alabama","The University of Alabama"
"64","36","W","12-29-1982","21","Illinois","15","Liberty Bowl","Alabama","The University of Alabama"
"65","37","W","12-24-1983","28","Southern Methodist (TX)","7","Sun Bowl","Alabama","The University of Alabama"
"66","38","W","12-28-1985","24","Southern California","3","Aloha Bowl","Alabama","The University of Alabama"
"67","39","W","12-25-1986","28","Washington","6","Sun Bowl","Alabama","The University of Alabama"
"68","40","L","01-02-1988","24","Michigan","28","Hall of Fame Bowl","Alabama","The University of Alabama"
"69","41","W","12-24-1988","29","Army (NY)","28","Sun Bowl","Alabama","The University of Alabama"
"70","42","L","01-01-1990","25","Miami (FL)","33","Sugar Bowl","Alabama","The University of Alabama"
"71","43","L","01-01-1991","7","Louisville (KY)","34","Fiesta Bowl","Alabama","The University of Alabama"
"72","44","W","12-28-1991","30","Colorado","25","Blockbuster Bowl","Alabama","The University of Alabama"
"73","45","W","01-01-1993","34","Miami (FL)","13","Sugar Bowl","Alabama","The University of Alabama"
"74","46","W","12-31-1993","24","North Carolina","10","Gator Bowl","Alabama","The University of Alabama"
"75","47","W","01-02-1995","24","Ohio St.","17","Florida Citrus Bowl","Alabama","The University of Alabama"
"76","48","W","01-01-1997","17","Michigan","14","Outback Bowl","Alabama","The University of Alabama"
"77","49","L","12-29-1998","7","Virginia Tech","38","Music City Bowl","Alabama","The University of Alabama"
"78","50","L","01-01-2000","34","Michigan","35","Orange Bowl","Alabama","The University of Alabama"
"79","51","W","12-27-2001","14","Iowa St.","13","Independence Bowl","Alabama","The University of Alabama"
"80","52","L","12-31-2004","16","Minnesota","20","Music City Bowl","Alabama","The University of Alabama"
"81","53","N/A","01-02-2006","13","Texas Tech","10","Cotton Bowl - Alabama Vacated Game","Alabama","The University of Alabama"
"82","54","L","12-28-2006","31","Oklahoma St.","34","Independence Bowl","Alabama","The University of Alabama"
"83","55","W","12-30-2007","30","Colorado","24","Independence Bowl","Alabama","The University of Alabama"
"84","56","L","01-02-2009","17","Utah","31","Sugar Bowl","Alabama","The University of Alabama"
"85","57","W","01-07-2010","37","Texas","21","BCS Championship Game","Alabama","The University of Alabama"
"86","58","W","01-01-2011","49","Michigan St.","7","Capital One Bowl","Alabama","The University of Alabama"
"87","59","W","01-09-2012","21","Louisiana St.","0","BCS Championship Game","Alabama","The University of Alabama"
"88","60","W","01-07-2013","42","Notre Dame (IN)","14","BCS Championship Game","Alabama","The University of Alabama"
"89","61","L","01-02-2014","31","Oklahoma","45","Sugar Bowl","Alabama","The University of Alabama"
"90","1","L","12-24-2004","40","Hawaii","59","Hawaii Bowl","Alabama-Birmingham","The University of Alabama at Birmingham"
"91","1","L","12-26-1921","0","Centre (KY)","38","San Diego E-W Christmas Classic","Arizona","University of Arizona"
"92","2","L","01-01-1949","13","Drake (IA)","14","Salad Bowl","Arizona","University of Arizona"
"93","3","L","12-28-1968","10","Auburn (AL)","34","Sun Bowl","Arizona","University of Arizona"
"94","4","L","12-25-1979","10","Pittsburgh (PA)","16","Fiesta Bowl","Arizona","University of Arizona"
"95","5","T","12-28-1985","13","Georgia","13","Sun Bowl","Arizona","University of Arizona"
"96","6","W","12-27-1986","30","North Carolina","21","Aloha Bowl","Arizona","University of Arizona"
"97","7","W","12-31-1989","17","North Carolina St.","10","Copper Bowl","Arizona","University of Arizona"
"98","8","L","12-25-1990","0","Syracuse (NY)","28","Aloha Bowl","Arizona","University of Arizona"
"99","9","L","12-31-1992","15","Baylor (TX)","20","Sun Bowl","Arizona","University of Arizona"
"100","10","W","01-01-1994","29","Miami (FL)","0","Fiesta Bowl","Arizona","University of Arizona"
"101","11","L","12-27-1994","13","Utah","16","Freedom Bowl","Arizona","University of Arizona"
"102","12","W","12-27-1997","20","New Mexico","14","Insight.com Bowl","Arizona","University of Arizona"
"103","13","W","12-30-1998","23","Nebraska","20","Holiday Bowl (1)","Arizona","University of Arizona"
"104","14","W","12-20-2008","31","Brigham Young (UT)","21","Las Vegas Bowl","Arizona","University of Arizona"
"105","15","L","12-30-2009","0","Nebraska","33","Holiday Bowl (1)","Arizona","University of Arizona"
"106","16","L","12-29-2010","10","Oklahoma St.","36","Alamo Bowl","Arizona","University of Arizona"
"107","17","W","12-15-2012","49","Nevada","48","New Mexico Bowl","Arizona","University of Arizona"
"108","18","W","12-31-2013","42","Boston College (MA)","19","Independence Bowl","Arizona","University of Arizona"
"109","1","L","11-30-1986","24","Stanford (CA)","29","Coco-Cola Classic","Arizona","University of Arizona"
"110","1","T","01-01-1940","0","Catholic (DC)","0","Sun Bowl","Arizona St.","Arizona State University"
"111","2","L","01-01-1941","13","Western Reserve (OH)","26","Sun Bowl","Arizona St.","Arizona State University"
"112","3","L","01-01-1950","21","Xavier (OH)","33","Salad Bowl","Arizona St.","Arizona State University"
"113","4","L","01-01-1951","21","Miami (OH)","34","Salad Bowl","Arizona St.","Arizona State University"
"114","5","W","12-30-1970","48","North Carolina","26","Peach Bowl","Arizona St.","Arizona State University"
"115","6","W","12-27-1971","45","Florida St.","38","Fiesta Bowl","Arizona St.","Arizona State University"
"116","7","W","12-23-1972","49","Missouri","35","Fiesta Bowl","Arizona St.","Arizona State University"
"117","8","W","12-21-1973","28","Pittsburgh (PA)","7","Fiesta Bowl","Arizona St.","Arizona State University"
"118","9","W","12-26-1975","17","Nebraska","14","Fiesta Bowl","Arizona St.","Arizona State University"
"119","10","L","12-25-1977","30","Penn St.","42","Fiesta Bowl","Arizona St.","Arizona State University"
"120","11","W","12-16-1978","34","Rutgers (NJ)","18","Garden State Bowl","Arizona St.","Arizona State University"
"121","12","W","01-01-1983","32","Oklahoma","21","Fiesta Bowl","Arizona St.","Arizona State University"
"122","13","L","12-22-1985","17","Arkansas","18","Holiday Bowl (1)","Arizona St.","Arizona State University"
"123","14","W","01-01-1987","22","Michigan","15","Rose Bowl","Arizona St.","Arizona State University"
"124","15","W","12-30-1987","33","Air Force (CO)","28","Freedom Bowl","Arizona St.","Arizona State University"
"125","16","L","01-01-1997","17","Ohio St.","20","Rose Bowl","Arizona St.","Arizona State University"
"126","17","W","12-31-1997","17","Iowa","7","Sun Bowl","Arizona St.","Arizona State University"
"127","18","L","12-25-1999","3","Wake Forest (NC)","23","Aloha Classic","Arizona St.","Arizona State University"
"128","19","L","12-25-2000","17","Boston College (MA)","31","Aloha Classic","Arizona St.","Arizona State University"
"129","20","L","12-27-2002","27","Kansas St.","34","Holiday Bowl (1)","Arizona St.","Arizona State University"
"130","21","W","12-31-2004","27","Purdue (IN)","23","Sun Bowl","Arizona St.","Arizona State University"
"131","22","W","12-27-2005","45","Rutgers (NJ)","40","Insight Bowl","Arizona St.","Arizona State University"
"132","23","L","12-24-2006","24","Hawaii","41","Hawaii Bowl","Arizona St.","Arizona State University"
"133","24","L","12-27-2007","34","Texas","52","Holiday Bowl (1)","Arizona St.","Arizona State University"
"134","25","L","12-22-2011","24","Boise St. (ID)","56","Las Vegas Bowl","Arizona St.","Arizona State University"
"135","26","W","12-29-2012","62","Navy (MD)","28","Kraft Fight Hunger Bowl","Arizona St.","Arizona State University"
"136","27","L","12-30-2013","23","Texas Tech","37","Holiday Bowl","Arizona St.","Arizona State University"
"137","1","L","12-02-1990","45","Houston (TX)","62","Coco-Cola Classic","Arizona St.","Arizona State University"
"138","1","T","01-01-1934","7","Centenary (LA)","7","Dixie Classic","Arkansas","University of Arkansas"
"139","2","T","01-01-1947","0","Louisiana St.","0","Cotton Bowl","Arkansas","University of Arkansas"
"140","3","W","01-01-1948","21","William & Mary (VA)","19","Dixie Bowl","Arkansas","University of Arkansas"
"141","4","L","01-01-1955","6","Georgia Tech","14","Cotton Bowl","Arkansas","University of Arkansas"
"142","5","W","01-02-1960","14","Georgia Tech","7","Gator Bowl","Arkansas","University of Arkansas"
"143","6","L","01-02-1961","6","Duke (NC)","7","Cotton Bowl","Arkansas","University of Arkansas"
"144","7","L","01-01-1962","3","Alabama","10","Sugar Bowl","Arkansas","University of Arkansas"
"145","8","L","01-01-1963","13","Mississippi","17","Sugar Bowl","Arkansas","University of Arkansas"
"146","9","W","01-01-1965","10","Nebraska","7","Cotton Bowl","Arkansas","University of Arkansas"
"147","10","L","01-01-1966","7","Louisiana St.","14","Cotton Bowl","Arkansas","University of Arkansas"
"148","11","W","01-01-1969","16","Georgia","2","Sugar Bowl","Arkansas","University of Arkansas"
"149","12","L","01-01-1970","22","Mississippi","27","Sugar Bowl","Arkansas","University of Arkansas"
"150","13","L","12-20-1971","13","Tennessee","14","Liberty Bowl","Arkansas","University of Arkansas"
"151","14","W","01-01-1976","31","Georgia","10","Cotton Bowl","Arkansas","University of Arkansas"
"152","15","W","01-02-1978","31","Oklahoma","6","Orange Bowl","Arkansas","University of Arkansas"
"153","16","T","12-25-1978","10","UCLA","10","Fiesta Bowl","Arkansas","University of Arkansas"
"154","17","L","01-01-1980","9","Alabama","24","Sugar Bowl","Arkansas","University of Arkansas"
"155","18","W","12-27-1980","34","Tulane (LA)","15","Hall of Fame Classic","Arkansas","University of Arkansas"
"156","19","L","12-28-1981","27","North Carolina","31","Gator Bowl","Arkansas","University of Arkansas"
"157","20","W","12-31-1982","28","Florida","24","Bluebonnet Bowl","Arkansas","University of Arkansas"
"158","21","L","12-27-1984","15","Auburn (AL)","21","Liberty Bowl","Arkansas","University of Arkansas"
"159","22","W","12-22-1985","18","Arizona St.","17","Holiday Bowl (1)","Arkansas","University of Arkansas"
"160","23","L","01-01-1987","8","Oklahoma","42","Orange Bowl","Arkansas","University of Arkansas"
"161","24","L","12-29-1987","17","Georgia","20","Liberty Bowl","Arkansas","University of Arkansas"
"162","25","L","01-02-1989","3","UCLA","17","Cotton Bowl","Arkansas","University of Arkansas"
