OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30
   1,Auburn,A,98.06 ,14,0,75.96,13,4,0,7,0
   2,Stanford,A,98.05 ,12,1,77.82,9,0,1,7,1
   3,Oregon,A,96.98 ,12,1,77,10,1,1,6,1
   4,TCU,A,94.69 ,13,0,68.38,76,0,0,3,0
   5,Alabama,A,94.30 ,10,3,75.74,14,1,2,3,3
   6,Boise State,A,93.03 ,12,1,67.58,81,0,0,3,1
   7,Ohio State,A,92.75 ,12,1,69.48,70,1,0,2,1
   8,LSU,A,91.16 ,11,2,75.63,15,1,2,4,2
   9,Arkansas,A,88.77 ,10,3,76.42,11,1,3,4,3
  10,Oklahoma,A,88.72 ,12,2,74.97,20,0,0,3,2
  11,Oklahoma State,A,87.57 ,11,2,72.18,44,0,1,2,2
  12,Wisconsin,A,86.99 ,11,2,69.92,66,1,1,3,1
  13,Virginia Tech,A,86.10 ,11,3,72.41,40,0,2,2,2
  14,Florida State,A,85.19 ,10,4,75.17,18,0,1,2,3
  15,Mississippi State,A,84.81 ,9,4,73.09,30,0,4,1,4
  16,Nevada,A,84.44 ,13,1,66.88,84,1,0,1,0
  17,Missouri,A,83.04 ,10,3,73.43,28,1,0,2,2
  18,NC State,A,82.85 ,9,4,72.96,32,0,0,1,1
  19,Notre Dame,A,82.47 ,8,5,74.76,22,0,1,2,1
  20,Texas A&M,A,82.37 ,9,4,75.25,17,1,2,2,4
  21,Iowa,A,82.35 ,8,5,71.75,49,0,1,1,3
  22,Southern California,A,81.93 ,8,5,77.96,8,0,2,2,5
  23,Arizona State,A,81.54 ,6,6,78.83,5,0,2,2,5
  24,Florida,A,81.34 ,8,5,74.82,21,0,2,0,5
  25,South Carolina,A,81.11 ,9,5,76.36,12,1,3,2,4
  26,Utah,A,80.56 ,10,3,71.51,50,0,2,0,3
  27,Nebraska,A,80.23 ,10,4,72.57,39,0,1,3,3
  28,Washington,A,80.09 ,7,6,79.84,3,0,2,3,5
  29,Oregon State,A,79.99 ,5,7,82.65,1,0,4,3,5
  30,Arizona,A,79.29 ,7,6,78,7,0,2,2,6
  31,Michigan State,A,79.28 ,11,2,70.92,57,0,1,2,2
  32,Pittsburgh,A,78.76 ,8,5,72.62,38,0,0,0,2
  33,California,A,78.29 ,5,7,78.69,6,0,2,1,7
  34,San Diego State,A,78.29 ,9,4,65.52,88,0,1,0,3
  35,Tulsa,A,78.03 ,10,3,64.09,96,0,0,1,1
  36,West Virginia,A,78.03 ,9,4,70.85,60,0,1,0,2
  37,Air Force,A,77.94 ,9,4,68.86,72,0,2,0,3
  38,Maryland,A,77.85 ,9,4,70.07,64,0,0,1,1
  39,Illinois,A,77.78 ,7,6,70.89,58,0,1,0,2
  40,Miami-Florida,A,76.91 ,7,6,75.27,16,0,1,0,4
  41,North Carolina,A,76.77 ,8,5,73.3,29,0,1,1,3
  42,Central Florida,A,75.85 ,11,3,62.18,109,0,0,0,1
  43,Texas Tech,A,74.50 ,8,5,71.19,53,0,1,1,3
  44,South Florida,A,74.43 ,8,5,69.23,71,0,0,0,1
